InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalSales
500000,P005,Webcam,4,2023-12-15,49.99,10073,Belgium,199.96
500001,P002,Mechanical Keyboard,3,2023-03-13,79.99,10397,Italy,239.96999999999997
500002,P001,Wireless Mouse,5,2023-01-21,15.99,10210,Spain,79.95
500003,P005,Webcam,2,2023-08-03,49.99,10272,United Kingdom,99.98
500004,P004,Laptop Stand,3,2023-03-29,29.99,10269,Belgium,89.97
500005,P004,Laptop Stand,5,2023-04-10,29.99,10460,Italy,149.95
500006,P008,Bluetooth Speaker,3,2023-05-30,39.99,10494,United Kingdom,119.97
500007,P001,Wireless Mouse,5,2023-09-15,15.99,10145,United Kingdom,79.95
500008,P004,Laptop Stand,4,2023-10-21,29.99,10066,Belgium,119.96
500009,P004,Laptop Stand,2,2023-07-11,29.99,10457,United Kingdom,59.98
500010,P006,Noise Cancelling Headphones,4,2023-10-04,129.99,10115,Spain,519.96
500011,P001,Wireless Mouse,1,2023-11-10,15.99,10398,Switzerland,15.99
500012,P001,Wireless Mouse,5,2023-08-24,15.99,10222,Spain,79.95
500013,P003,USB-C Cable,1,2023-02-18,9.99,10261,United Kingdom,9.99
500014,P005,Webcam,3,2023-02-28,49.99,10128,Switzerland,149.97
500015,P006,Noise Cancelling Headphones,2,2023-07-07,129.99,10319,United Kingdom,259.98
500016,P006,Noise Cancelling Headphones,3,2023-12-30,129.99,10237,Italy,389.97
500017,P001,Wireless Mouse,4,2023-11-16,15.99,10158,United Kingdom,63.96
500018,P003,USB-C Cable,1,2023-05-11,9.99,10143,Switzerland,9.99
500019,P001,Wireless Mouse,5,2023-11-03,15.99,10015,Italy,79.95
500020,P005,Webcam,5,2023-11-25,49.99,10456,Belgium,249.95000000000002
500021,P006,Noise Cancelling Headphones,2,2023-03-30,129.99,10290,Spain,259.98
500022,P001,Wireless Mouse,4,2023-01-14,15.99,10316,Italy,63.96
500023,P004,Laptop Stand,2,2023-09-22,29.99,10239,Italy,59.98
500024,P006,Noise Cancelling Headphones,2,2023-02-22,129.99,10313,Switzerland,259.98
500025,P008,Bluetooth Speaker,2,2023-12-06,39.99,10444,France,79.98
500026,P006,Noise Cancelling Headphones,4,2023-09-21,129.99,10137,Belgium,519.96
500027,P008,Bluetooth Speaker,3,2023-07-25,39.99,10361,Switzerland,119.97
500028,P008,Bluetooth Speaker,1,2023-02-19,39.99,10483,Italy,39.99
500029,P001,Wireless Mouse,4,2023-01-02,15.99,10472,Belgium,63.96
500030,P004,Laptop Stand,2,2023-09-17,29.99,10327,Italy,59.98
500031,P002,Mechanical Keyboard,5,2023-07-10,79.99,10065,United Kingdom,399.95
500032,P007,Portable SSD,2,2023-08-06,99.99,10180,Switzerland,199.98
500033,P008,Bluetooth Speaker,4,2023-06-11,39.99,10188,Italy,159.96
500034,P006,Noise Cancelling Headphones,2,2023-09-27,129.99,10251,Switzerland,259.98
500035,P008,Bluetooth Speaker,4,2023-07-09,39.99,10120,Spain,159.96
500036,P006,Noise Cancelling Headphones,5,2023-07-27,129.99,10497,Germany,649.95
500037,P005,Webcam,5,2023-12-04,49.99,10203,Switzerland,249.95000000000002
500038,P007,Portable SSD,5,2023-10-07,99.99,10365,Italy,499.95
500039,P004,Laptop Stand,2,2023-08-05,29.99,10264,Spain,59.98
500040,P003,USB-C Cable,4,2023-07-07,9.99,10180,Spain,39.96
500041,P005,Webcam,4,2023-02-10,49.99,10392,Belgium,199.96
500042,P001,Wireless Mouse,5,2023-01-15,15.99,10496,Germany,79.95
500043,P003,USB-C Cable,5,2023-03-06,9.99,10159,France,49.95
500044,P003,USB-C Cable,1,2023-11-23,9.99,10028,United Kingdom,9.99
500045,P004,Laptop Stand,1,2023-12-10,29.99,10191,Italy,29.99
500046,P007,Portable SSD,1,2023-05-16,99.99,10048,Germany,99.99
500047,P007,Portable SSD,3,2023-03-22,99.99,10078,Italy,299.96999999999997
500048,P001,Wireless Mouse,3,2023-10-16,15.99,10342,Belgium,47.97
500049,P005,Webcam,3,2023-09-18,49.99,10058,Belgium,149.97
500050,P007,Portable SSD,2,2023-08-19,99.99,10223,Germany,199.98
500051,P007,Portable SSD,2,2023-02-10,99.99,10216,Netherlands,199.98
500052,P004,Laptop Stand,4,2023-05-15,29.99,10236,Italy,119.96
500053,P007,Portable SSD,1,2023-11-24,99.99,10415,Spain,99.99
500054,P001,Wireless Mouse,4,2023-02-02,15.99,10315,Belgium,63.96
500055,P008,Bluetooth Speaker,5,2023-04-09,39.99,10287,Spain,199.95000000000002
500056,P001,Wireless Mouse,4,2023-12-26,15.99,10162,Switzerland,63.96
500057,P002,Mechanical Keyboard,3,2023-02-04,79.99,10341,France,239.96999999999997
500058,P005,Webcam,1,2023-08-15,49.99,10392,United Kingdom,49.99
500059,P005,Webcam,5,2023-05-11,49.99,10132,Netherlands,249.95000000000002
500060,P007,Portable SSD,1,2023-01-05,99.99,10343,Netherlands,99.99
500061,P003,USB-C Cable,2,2023-09-12,9.99,10425,Switzerland,19.98
500062,P002,Mechanical Keyboard,3,2023-07-26,79.99,10461,United Kingdom,239.96999999999997
500063,P002,Mechanical Keyboard,2,2023-02-11,79.99,10139,Switzerland,159.98
500064,P007,Portable SSD,4,2023-06-28,99.99,10175,France,399.96
500065,P006,Noise Cancelling Headphones,1,2023-02-21,129.99,10388,Netherlands,129.99
500066,P006,Noise Cancelling Headphones,5,2023-04-06,129.99,10182,Germany,649.95
500067,P008,Bluetooth Speaker,4,2023-08-10,39.99,10105,Germany,159.96
500068,P007,Portable SSD,5,2023-08-19,99.99,10227,Belgium,499.95
500069,P003,USB-C Cable,5,2023-05-23,9.99,10076,United Kingdom,49.95
500070,P001,Wireless Mouse,3,2023-01-29,15.99,10248,Italy,47.97
500071,P001,Wireless Mouse,4,2023-01-13,15.99,10156,United Kingdom,63.96
500072,P003,USB-C Cable,3,2023-08-31,9.99,10066,Italy,29.97
500073,P008,Bluetooth Speaker,4,2023-03-07,39.99,10457,Spain,159.96
500074,P004,Laptop Stand,2,2023-02-14,29.99,10055,Belgium,59.98
500075,P006,Noise Cancelling Headphones,1,2023-05-14,129.99,10268,Netherlands,129.99
500076,P003,USB-C Cable,4,2023-01-28,9.99,10442,United Kingdom,39.96
500077,P001,Wireless Mouse,4,2023-02-13,15.99,10312,Belgium,63.96
500078,P008,Bluetooth Speaker,4,2023-10-13,39.99,10175,Switzerland,159.96
500079,P008,Bluetooth Speaker,3,2023-05-08,39.99,10210,Switzerland,119.97
500080,P007,Portable SSD,2,2023-12-14,99.99,10477,Germany,199.98
500081,P006,Noise Cancelling Headphones,1,2023-08-19,129.99,10271,United Kingdom,129.99
500082,P008,Bluetooth Speaker,1,2023-10-10,39.99,10350,Germany,39.99
500083,P008,Bluetooth Speaker,1,2023-04-26,39.99,10366,France,39.99
500084,P004,Laptop Stand,5,2023-08-21,29.99,10470,Switzerland,149.95
500085,P004,Laptop Stand,3,2023-12-25,29.99,10294,Italy,89.97
500086,P002,Mechanical Keyboard,3,2023-05-17,79.99,10021,Italy,239.96999999999997
500087,P004,Laptop Stand,5,2023-08-13,29.99,10000,France,149.95
500088,P004,Laptop Stand,3,2023-08-22,29.99,10414,United Kingdom,89.97
500089,P006,Noise Cancelling Headphones,4,2023-06-01,129.99,10211,Switzerland,519.96
500090,P008,Bluetooth Speaker,3,2023-06-09,39.99,10430,France,119.97
500091,P005,Webcam,1,2023-06-29,49.99,10045,Germany,49.99
500092,P007,Portable SSD,1,2023-11-14,99.99,10033,France,99.99
500093,P008,Bluetooth Speaker,1,2023-02-21,39.99,10326,Belgium,39.99
500094,P008,Bluetooth Speaker,4,2023-10-22,39.99,10069,France,159.96
500095,P008,Bluetooth Speaker,2,2023-04-23,39.99,10153,United Kingdom,79.98
500096,P006,Noise Cancelling Headphones,5,2023-04-23,129.99,10133,Netherlands,649.95
500097,P001,Wireless Mouse,1,2023-07-06,15.99,10110,Germany,15.99
500098,P006,Noise Cancelling Headphones,1,2023-01-02,129.99,10249,Spain,129.99
500099,P007,Portable SSD,2,2023-08-08,99.99,10463,Switzerland,199.98
500100,P008,Bluetooth Speaker,5,2023-08-12,39.99,10297,France,199.95000000000002
500101,P001,Wireless Mouse,1,2023-05-06,15.99,10434,Italy,15.99
500102,P007,Portable SSD,2,2023-02-22,99.99,10365,Belgium,199.98
500103,P001,Wireless Mouse,4,2023-08-06,15.99,10095,Spain,63.96
500104,P003,USB-C Cable,4,2023-07-22,9.99,10024,Spain,39.96
500105,P008,Bluetooth Speaker,3,2023-09-12,39.99,10093,Germany,119.97
500106,P003,USB-C Cable,5,2023-04-08,9.99,10361,Spain,49.95
500107,P003,USB-C Cable,3,2023-08-28,9.99,10187,Italy,29.97
500108,P002,Mechanical Keyboard,1,2023-07-20,79.99,10178,France,79.99
500109,P008,Bluetooth Speaker,4,2023-07-06,39.99,10122,Spain,159.96
500110,P002,Mechanical Keyboard,5,2023-09-16,79.99,10382,Italy,399.95
500111,P002,Mechanical Keyboard,4,2023-09-09,79.99,10301,France,319.96
500112,P005,Webcam,3,2023-12-12,49.99,10014,Spain,149.97
500113,P002,Mechanical Keyboard,3,2023-05-27,79.99,10096,Spain,239.96999999999997
500114,P006,Noise Cancelling Headphones,4,2023-12-18,129.99,10332,Italy,519.96
500115,P007,Portable SSD,4,2023-05-08,99.99,10178,France,399.96
500116,P006,Noise Cancelling Headphones,2,2023-12-26,129.99,10360,Italy,259.98
500117,P001,Wireless Mouse,1,2023-09-24,15.99,10155,France,15.99
500118,P003,USB-C Cable,4,2023-05-31,9.99,10477,Spain,39.96
500119,P003,USB-C Cable,2,2023-04-09,9.99,10432,Belgium,19.98
500120,P008,Bluetooth Speaker,4,2023-05-24,39.99,10126,Italy,159.96
500121,P004,Laptop Stand,2,2023-04-22,29.99,10384,Netherlands,59.98
500122,P008,Bluetooth Speaker,1,2023-03-01,39.99,10435,Netherlands,39.99
500123,P002,Mechanical Keyboard,1,2023-01-02,79.99,10394,France,79.99
500124,P005,Webcam,1,2023-10-31,49.99,10198,Netherlands,49.99
500125,P004,Laptop Stand,4,2023-02-06,29.99,10259,Switzerland,119.96
500126,P002,Mechanical Keyboard,3,2023-01-09,79.99,10026,Belgium,239.96999999999997
500127,P001,Wireless Mouse,1,2023-04-09,15.99,10188,United Kingdom,15.99
500128,P007,Portable SSD,3,2023-10-31,99.99,10052,Switzerland,299.96999999999997
500129,P008,Bluetooth Speaker,3,2023-06-01,39.99,10473,Switzerland,119.97
500130,P007,Portable SSD,1,2023-04-26,99.99,10117,Spain,99.99
500131,P008,Bluetooth Speaker,3,2023-04-23,39.99,10148,Belgium,119.97
500132,P001,Wireless Mouse,4,2023-04-14,15.99,10359,Switzerland,63.96
500133,P003,USB-C Cable,4,2023-09-11,9.99,10290,Italy,39.96
500134,P007,Portable SSD,3,2023-04-22,99.99,10357,Germany,299.96999999999997
500135,P004,Laptop Stand,1,2023-04-09,29.99,10085,Belgium,29.99
500136,P001,Wireless Mouse,1,2023-12-15,15.99,10154,Netherlands,15.99
500137,P003,USB-C Cable,2,2023-12-04,9.99,10158,United Kingdom,19.98
500138,P003,USB-C Cable,2,2023-11-06,9.99,10333,Belgium,19.98
500139,P008,Bluetooth Speaker,3,2023-07-27,39.99,10417,United Kingdom,119.97
500140,P008,Bluetooth Speaker,5,2023-06-18,39.99,10086,Switzerland,199.95000000000002
500141,P007,Portable SSD,4,2023-06-10,99.99,10490,Germany,399.96
500142,P007,Portable SSD,4,2023-10-16,99.99,10084,Belgium,399.96
500143,P002,Mechanical Keyboard,5,2023-10-31,79.99,10263,France,399.95
500144,P008,Bluetooth Speaker,4,2023-05-15,39.99,10457,Germany,159.96
500145,P005,Webcam,3,2023-05-08,49.99,10336,Italy,149.97
500146,P006,Noise Cancelling Headphones,1,2023-06-25,129.99,10174,Belgium,129.99
500147,P005,Webcam,4,2023-01-22,49.99,10052,United Kingdom,199.96
500148,P007,Portable SSD,5,2023-02-20,99.99,10182,Netherlands,499.95
500149,P008,Bluetooth Speaker,3,2023-01-27,39.99,10367,Germany,119.97
500150,P008,Bluetooth Speaker,2,2023-10-04,39.99,10367,Italy,79.98
500151,P006,Noise Cancelling Headphones,1,2023-10-11,129.99,10330,United Kingdom,129.99
500152,P003,USB-C Cable,1,2023-11-13,9.99,10169,Netherlands,9.99
500153,P006,Noise Cancelling Headphones,3,2023-01-04,129.99,10021,United Kingdom,389.97
